Size_m2,Bedrooms,Bathrooms,Location,YearBuilt,Price
257.53,14,1,Suburb,1979,686
215.72,12,2,Suburb,2019,588
267.47,2,3,City,1999,136
325.07,6,1,City,1965,408
209.4,12,4,City,1995,840
209.4,10,3,Suburb,2024,400
328.78,12,5,Suburb,1970,504
275.36,6,1,City,2008,354
193.89,2,3,City,1987,106
260.5,8,2,Suburb,1981,344
194.26,10,3,City,2006,650
194.07,11,4,City,1984,770
240.71,5,5,City,1991,340
98.76,9,4,Suburb,1976,369
111.2,5,3,Suburb,1999,240
187.76,8,1,Suburb,1989,256
158.12,3,1,Suburb,2018,108
245.45,1,1,Suburb,1987,36
165,2,1,Suburb,2006,68
131.83,7,3,Suburb,1982,287
321.26,4,5,Suburb,2016,144
209.96,5,1,Suburb,1960,160
229.19,2,5,City,1988,140
130.99,4,5,City,2009,244
188.96,7,2,City,2023,364
232.07,3,5,City,1996,177
149.02,1,3,Suburb,2020,50
249.54,9,2,City,1966,495
185.25,6,5,City,2023,414
205.59,3,1,City,1977,168
185.16,3,2,Suburb,1988,132
346.71,6,3,City,2019,408
223.9,4,1,City,2013,232
155.15,6,4,City,1980,372
278.99,4,4,Suburb,1980,156
144.37,9,5,City,2017,522
238.57,9,4,Suburb,2008,306
95.78,3,5,Suburb,1995,90
137.31,3,3,City,1976,210
237.74,5,2,Suburb,2012,225
273.41,8,1,Suburb,1974,256
236.07,11,3,City,1999,660
217.21,5,2,Suburb,2010,250
204.94,4,4,City,2024,248
127.46,9,1,City,1972,576
177.35,9,1,City,1997,468
194.45,8,1,Suburb,1985,304
294.41,9,4,City,1974,522
247.4,5,4,City,1964,295
108.7,2,3,City,1961,106
246.1,14,5,Suburb,2024,616
199.46,13,5,City,2019,663
180.23,11,1,Suburb,2015,374
265.05,5,4,Suburb,1997,225
292.64,12,4,City,2016,792
286.14,4,4,Suburb,2010,188
169.55,8,5,City,2000,504
204.39,1,5,Suburb,2011,49
246.56,6,1,City,1960,420
289.02,12,5,City,1977,648
193.24,6,5,Suburb,1986,300
212.56,13,3,City,2001,858
151.9,3,5,City,1965,150
146.04,10,5,Suburb,1983,310
278.34,14,3,Suburb,2004,588
314.11,8,1,Suburb,1966,384
220.09,11,2,Suburb,1975,495
290.88,14,2,Suburb,2017,686
248.61,3,1,City,2016,174
182.28,7,2,City,2001,413
248.61,11,2,City,1973,616
326.09,12,4,Suburb,2015,576
222.41,9,3,Suburb,1971,333
327.85,8,5,City,1974,416
52.3,7,1,Suburb,1967,245
278.89,7,4,City,2017,378
230.49,8,1,City,2012,544
205.13,8,1,Suburb,1968,240
230.86,12,5,Suburb,2005,384
93.92,2,4,Suburb,1966,72
210.33,11,5,Suburb,2003,330
248.33,8,5,Suburb,1973,384
322.09,4,4,Suburb,1965,132
190.64,2,2,City,1994,120
171.59,2,1,Suburb,2020,78
191.75,12,1,City,1983,840
285.03,13,4,City,1961,728
246.47,13,3,City,2010,871
189.89,13,5,Suburb,1990,637
258.55,6,4,City,1986,384
231.14,10,5,Suburb,1990,360
288.56,11,1,Suburb,2002,462
178.56,1,4,Suburb,2011,44
203.18,4,5,Suburb,1973,156
199,2,2,Suburb,2018,76
